election_value,title,year,election_type,district,party,office
68023,2014 State Senator Liberty Union Primary Grand Isle District,2014,Primary,Grand Isle,Liberty Union,State Senator
68024,2014 State Senator Progressive Primary Addison District,2014,Primary,Addison,Progressive,State Senator
68025,2014 State Senator Progressive Primary Essex-Orleans District,2014,Primary,Essex-Orleans,Progressive,State Senator
68026,2014 State Senator Progressive Primary Franklin District,2014,Primary,Franklin,Progressive,State Senator
68027,2014 State Senator Progressive Primary Windsor District,2014,Primary,Windsor,Progressive,State Senator
68028,2014 State Senator Progressive Primary Bennington District,2014,Primary,Bennington,Progressive,State Senator
68029,2014 State Senator Progressive Primary Windham District,2014,Primary,Windham,Progressive,State Senator
68030,2014 State Senator Progressive Primary Caledonia District,2014,Primary,Caledonia,Progressive,State Senator
68031,2014 State Senator Progressive Primary Washington District,2014,Primary,Washington,Progressive,State Senator
68032,2014 State Senator Progressive Primary Lamoille District,2014,Primary,Lamoille,Progressive,State Senator
68033,2014 State Senator Progressive Primary Rutland District,2014,Primary,Rutland,Progressive,State Senator
68034,2014 State Senator Progressive Primary Chittenden District,2014,Primary,Chittenden,Progressive,State Senator
68035,2014 State Senator Progressive Primary Orange District,2014,Primary,Orange,Progressive,State Senator
68036,2014 State Senator Progressive Primary Grand Isle District,2014,Primary,Grand Isle,Progressive,State Senator
68037,2014 State Senator Republican Primary Addison District,2014,Primary,Addison,Republican,State Senator
68038,2014 State Senator Republican Primary Essex-Orleans District,2014,Primary,Essex-Orleans,Republican,State Senator
68039,2014 State Senator Republican Primary Franklin District,2014,Primary,Franklin,Republican,State Senator
68040,2014 State Senator Republican Primary Windsor District,2014,Primary,Windsor,Republican,State Senator
68041,2014 State Senator Republican Primary Bennington District,2014,Primary,Bennington,Republican,State Senator
68042,2014 State Senator Republican Primary Windham District,2014,Primary,Windham,Republican,State Senator
68043,2014 State Senator Republican Primary Caledonia District,2014,Primary,Caledonia,Republican,State Senator
68044,2014 State Senator Republican Primary Washington District,2014,Primary,Washington,Republican,State Senator
68045,2014 State Senator Republican Primary Lamoille District,2014,Primary,Lamoille,Republican,State Senator
68046,2014 State Senator Republican Primary Rutland District,2014,Primary,Rutland,Republican,State Senator
68047,2014 State Senator Republican Primary Chittenden District,2014,Primary,Chittenden,Republican,State Senator
68048,2014 State Senator Republican Primary Orange District,2014,Primary,Orange,Republican,State Senator
68049,2014 State Senator Republican Primary Grand Isle District,2014,Primary,Grand Isle,Republican,State Senator
68050,2014 Treasurer Democratic Primary,2014,Primary,,Democratic,Treasurer
68051,2014 Treasurer Liberty Union Primary,2014,Primary,,Liberty Union,Treasurer
68052,2014 Treasurer Progressive Primary,2014,Primary,,Progressive,Treasurer
68053,2014 Treasurer Republican Primary,2014,Primary,,Republican,Treasurer
68054,2014 State's Attorney Democratic Primary Addison County,2014,Primary,Addison County,Democratic,Local Election
68055,2014 State's Attorney Democratic Primary Orleans County,2014,Primary,Orleans County,Democratic,Local Election
68056,2014 State's Attorney Democratic Primary Grand Isle County,2014,Primary,Grand Isle County,Democratic,Local Election
68057,2014 State's Attorney Democratic Primary Windsor County,2014,Primary,Windsor County,Democratic,Local Election
68058,2014 State's Attorney Democratic Primary Bennington County,2014,Primary,Bennington County,Democratic,Local Election
68059,2014 State's Attorney Democratic Primary Windham County,2014,Primary,Windham County,Democratic,Local Election
68060,2014 State's Attorney Democratic Primary Franklin County,2014,Primary,Franklin County,Democratic,Local Election
68061,2014 State's Attorney Democratic Primary Caledonia County,2014,Primary,Caledonia County,Democratic,Local Election
68062,2014 State's Attorney Democratic Primary Washington County,2014,Primary,Washington County,Democratic,Local Election
68063,2014 State's Attorney Democratic Primary Lamoille County,2014,Primary,Lamoille County,Democratic,Local Election
68064,2014 State's Attorney Democratic Primary Rutland County,2014,Primary,Rutland County,Democratic,Local Election
68065,2014 State's Attorney Democratic Primary Essex County,2014,Primary,Essex County,Democratic,Local Election
68066,2014 State's Attorney Democratic Primary Chittenden County,2014,Primary,Chittenden County,Democratic,Local Election
68067,2014 State's Attorney Democratic Primary Orange County,2014,Primary,Orange County,Democratic,Local Election
68068,2014 State's Attorney Liberty Union Primary Addison County,2014,Primary,Addison County,Liberty Union,Local Election
68069,2014 State's Attorney Liberty Union Primary Orleans County,2014,Primary,Orleans County,Liberty Union,Local Election
68070,2014 State's Attorney Liberty Union Primary Grand Isle County,2014,Primary,Grand Isle County,Liberty Union,Local Election
68071,2014 State's Attorney Liberty Union Primary Windsor County,2014,Primary,Windsor County,Liberty Union,Local Election
68072,2014 State's Attorney Liberty Union Primary Bennington County,2014,Primary,Bennington County,Liberty Union,Local Election
68073,2014 State's Attorney Liberty Union Primary Windham County,2014,Primary,Windham County,Liberty Union,Local Election
68074,2014 State's Attorney Liberty Union Primary Franklin County,2014,Primary,Franklin County,Liberty Union,Local Election
68075,2014 State's Attorney Liberty Union Primary Caledonia County,2014,Primary,Caledonia County,Liberty Union,Local Election
68076,2014 State's Attorney Liberty Union Primary Washington County,2014,Primary,Washington County,Liberty Union,Local Election
68077,2014 State's Attorney Liberty Union Primary Lamoille County,2014,Primary,Lamoille County,Liberty Union,Local Election
68078,2014 State's Attorney Liberty Union Primary Rutland County,2014,Primary,Rutland County,Liberty Union,Local Election
68079,2014 State's Attorney Liberty Union Primary Essex County,2014,Primary,Essex County,Liberty Union,Local Election
68080,2014 State's Attorney Liberty Union Primary Chittenden County,2014,Primary,Chittenden County,Liberty Union,Local Election
68081,2014 State's Attorney Liberty Union Primary Orange County,2014,Primary,Orange County,Liberty Union,Local Election
68082,2014 State's Attorney Progressive Primary Addison County,2014,Primary,Addison County,Progressive,Local Election
68083,2014 State's Attorney Progressive Primary Orleans County,2014,Primary,Orleans County,Progressive,Local Election
68084,2014 State's Attorney Progressive Primary Grand Isle County,2014,Primary,Grand Isle County,Progressive,Local Election
68085,2014 State's Attorney Progressive Primary Windsor County,2014,Primary,Windsor County,Progressive,Local Election
68086,2014 State's Attorney Progressive Primary Bennington County,2014,Primary,Bennington County,Progressive,Local Election
68087,2014 State's Attorney Progressive Primary Windham County,2014,Primary,Windham County,Progressive,Local Election
68088,2014 State's Attorney Progressive Primary Franklin County,2014,Primary,Franklin County,Progressive,Local Election
68089,2014 State's Attorney Progressive Primary Caledonia County,2014,Primary,Caledonia County,Progressive,Local Election
68090,2014 State's Attorney Progressive Primary Washington County,2014,Primary,Washington County,Progressive,Local Election
68091,2014 State's Attorney Progressive Primary Lamoille County,2014,Primary,Lamoille County,Progressive,Local Election
68092,2014 State's Attorney Progressive Primary Rutland County,2014,Primary,Rutland County,Progressive,Local Election
68093,2014 State's Attorney Progressive Primary Essex County,2014,Primary,Essex County,Progressive,Local Election
68094,2014 State's Attorney Progressive Primary Chittenden County,2014,Primary,Chittenden County,Progressive,Local Election
68095,2014 State's Attorney Progressive Primary Orange County,2014,Primary,Orange County,Progressive,Local Election
68096,2014 State's Attorney Republican Primary Addison County,2014,Primary,Addison County,Republican,Local Election
68097,2014 State's Attorney Republican Primary Orleans County,2014,Primary,Orleans County,Republican,Local Election
68098,2014 State's Attorney Republican Primary Grand Isle County,2014,Primary,Grand Isle County,Republican,Local Election
68099,2014 State's Attorney Republican Primary Windsor County,2014,Primary,Windsor County,Republican,Local Election
68100,2014 State's Attorney Republican Primary Bennington County,2014,Primary,Bennington County,Republican,Local Election
68101,2014 State's Attorney Republican Primary Windham County,2014,Primary,Windham County,Republican,Local Election
68102,2014 State's Attorney Republican Primary Franklin County,2014,Primary,Franklin County,Republican,Local Election
68103,2014 State's Attorney Republican Primary Caledonia County,2014,Primary,Caledonia County,Republican,Local Election
68104,2014 State's Attorney Republican Primary Washington County,2014,Primary,Washington County,Republican,Local Election
